split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
2,8,12,100.0,0.731040074120586,0.6015780076833517,0.7404761904761905
2,10,0,0.0,0.7836463606549414,0.5606905983536413,0.654012654012654
2,10,1,0.01,0.7836463606549414,0.5606905983536302,0.654012654012654
2,10,2,0.023101297000831605,0.784791672292145,0.5597710554801042,0.6561771561771563
2,10,3,0.0533669923120631,0.7826099318442068,0.5613826239665851,0.5029304029304029
2,10,4,0.1232846739442066,0.7814914953485332,0.5639262275508166,0.7296037296037297
2,10,5,0.2848035868435802,0.7775346018697303,0.5676546746302429,0.7757575757575758
2,10,6,0.6579332246575682,0.7758157050492149,0.5682478592807114,0.7287296037296038
2,10,7,1.5199110829529334,0.764708673094356,0.578727774449596,0.6357575757575757
2,10,8,3.511191734215131,0.7664800629482077,0.5770371807047329,0.8522222222222222
2,10,9,8.111308307896872,0.7664800629482077,0.5770371807047333,0.8522222222222222
2,10,10,18.73817422860385,0.7576122513270771,0.583873582957915,0.5527272727272726
2,10,11,43.287612810830616,0.7568676394636402,0.584328695990099,0.5896969696969696
2,10,12,100.0,0.7461919641740977,0.5933494519818951,0.6203174603174604
3,2,0,0.0,0.7274516898222064,0.5981361045703086,1.0
3,2,1,0.01,0.7274516898222064,0.5981361045703086,1.0
3,2,2,0.023101297000831605,0.7274516898222064,0.5981361045703086,1.0
3,2,3,0.053366992312063107,0.7274516898222064,0.5981361045703086,1.0
3,2,4,0.12328467394420659,0.7274516898222064,0.5981361045703086,1.0
3,2,5,0.2848035868435802,0.7274516898222064,0.5981361045703086,1.0
3,2,6,0.6579332246575682,0.7274516898222064,0.5981361045703086,1.0
3,2,7,1.5199110829529332,0.7274516898222064,0.5981361045526767,1.0
3,2,8,3.511191734215131,0.7274516898222064,0.5981361045526767,1.0
3,2,9,8.111308307896872,0.7007103603806324,0.6146555762642649,0.4
3,2,10,18.73817422860385,0.7017435160560076,0.6120097852548486,0.5999999999999999
3,2,11,43.287612810830616,0.7017435160560076,0.6120097852548486,0.5999999999999999
3,2,12,100.0,0.7017435160560076,0.6120097852548486,0.5999999999999999
3,4,0,0.0,0.761286191469132,0.5782670174096673,1.0
3,4,1,0.01,0.761286191469132,0.5782670174096673,1.0
3,4,2,0.023101297000831605,0.761286191469132,0.5782670174096673,1.0
3,4,3,0.053366992312063107,0.7580700938151173,0.5812424325806204,0.6571428571428571
3,4,4,0.12328467394420659,0.7589735784684557,0.5800843424965634,0.76
3,4,5,0.2848035868435802,0.7589735784684557,0.5800843424965634,0.76
3,4,6,0.6579332246575682,0.7589735784684557,0.5800843452002198,0.76
3,4,7,1.5199110829529332,0.7376181303982265,0.5970275705670955,0.35690476190476195
3,4,8,3.511191734215131,0.728607358054006,0.60055435849339,0.23333333333333334
3,4,9,8.111308307896872,0.7048515852418884,0.6145505722610451,0.54
3,4,10,18.73817422860385,0.7048515852418884,0.6145505722610451,0.54
3,4,11,43.287612810830616,0.7048515852418884,0.6145505722610451,0.54
3,4,12,100.0,0.7048515852418884,0.6145505722610451,0.54
3,6,0,0.0,0.7688271381638868,0.574930257943258,0.5380952380952381
3,6,1,0.01,0.7688271381638868,0.574930257744108,0.5380952380952381
3,6,2,0.023101297000831605,0.7688271381638868,0.5749302577441123,0.5380952380952381
3,6,3,0.053366992312063107,0.7699551183279151,0.5738531187475691,0.4999999999999999
3,6,4,0.12328467394420659,0.7657670744870456,0.5774104268249793,0.4666666666666666
3,6,5,0.2848035868435802,0.7682482046688255,0.5746520731908715,0.7357142857142858
3,6,6,0.6579332246575682,0.7645799307226827,0.5788052557454837,0.6839285714285714
3,6,7,1.5199110829529332,0.7495221536687761,0.5897410112147456,0.5519841269841269
3,6,8,3.511191734215131,0.7414220494456314,0.5975439609275022,0.4050396825396826
3,6,9,8.111308307896872,0.7371916470042811,0.5990295103462809,0.5157142857142858
3,6,10,18.73817422860385,0.712308889827064,0.6120471895828506,0.5713095238095238
3,6,11,43.287612810830616,0.712308889827064,0.6120471895828506,0.5713095238095238
3,6,12,100.0,0.7133731660048246,0.6108537351520418,0.5713095238095238
3,8,0,0.0,0.7759297854603355,0.5693494650418881,0.6763636363636363
3,8,1,0.01,0.7759297854603355,0.5693494650418881,0.6763636363636363
3,8,2,0.023101297000831605,0.7759297854603355,0.5693494949611797,0.6763636363636363
3,8,3,0.053366992312063107,0.77354679862074,0.5713349127294588,0.43241647241647235
3,8,4,0.12328467394420659,0.770662755619942,0.5735401126735882,0.6496969696969697
3,8,5,0.2848035868435802,0.7689312827304607,0.5756611260138845,0.583030303030303
3,8,6,0.6579332246575682,0.7683731931499891,0.575914942945129,0.7308333333333333
3,8,7,1.5199110829529332,0.7607436167788547,0.5824655060741339,0.5488888888888889
3,8,8,3.511191734215131,0.7567660208260559,0.5856622504301854,0.5141991341991342
3,8,9,8.111308307896872,0.7406133949957174,0.6001312102400466,0.6249747474747475
3,8,10,18.73817422860385,0.7406133949957174,0.600131210240038,0.6249747474747475
3,8,11,43.287612810830616,0.7408374997589082,0.599838305304579,0.7444444444444445
3,8,12,100.0,0.7408374997589082,0.599838305304579,0.7444444444444445
3,10,0,0.0,0.7793003748175737,0.5669029975517067,0.5487096237096237
3,10,1,0.01,0.7793003748175737,0.5669029975517067,0.5487096237096237
